name,minute,team,goals,shots,otrate,on_target,crate,in_area,out_area,in_area_prop,team_change,minute_next,goals_next,shots_next,otrate_next,on_target_next,crate_next,in_area_next,out_area_next,in_area_prop_next
Sanchez,y,Barcelona,8,32,61,19.52,0.25,29,3,0.90625,Barcelona,y,19,66,59,38.94,0.287878788,56,10,0.848484848
Aboubakar,y,Valenciennes,2,28,46,12.88,0.071428571,20,8,0.714285714,Lorient,y,16,86,54,46.44,0.186046512,65,21,0.755813953
Rodriguez,y,Southampton,6,89,46,40.94,0.06741573,47,43,0.528089888,Southampton,y,15,101,43,43.43,0.148514851,65,36,0.643564356
Javi Guerra,y,Valladolid,8,37,52,19.24,0.216216216,33,4,0.891891892,Valladolid,y,15,86,56,48.16,0.174418605,72,14,0.837209302
Lacazette,y,Lyon ,3,37,34,12.58,0.081081081,29,8,0.783783784,Lyon,y,15,84,56,47.04,0.178571429,54,30,0.642857143
Callejon,y,Real Madrid,3,44,56,24.64,0.068181818,35,9,0.795454545,Napoli,y,15,59,58,34.22,0.254237288,43,16,0.728813559
Okazaki,y,Stuttgart,1,25,38,9.5,0.04,19,6,0.76,Mainz,y,15,72,59,42.48,0.208333333,63,9,0.875
Pedro,y,Barcelona,7,41,56,22.96,0.170731707,34,7,0.829268293,Barcelona,y,15,70,54,37.8,0.214285714,57,13,0.814285714
Olic,y,Wolfsburg,9,52,43,22.36,0.173076923,42,10,0.807692308,Wolfsburg,y,14,77,50,38.5,0.181818182,67,10,0.87012987
Remy,y,QPR,7,55,51,28.05,0.127272727,36,19,0.654545455,Newcastle,y,14,90,49,44.1,0.155555556,53,37,0.588888889
Nolito,y,Granada,3,41,66,27.06,0.073170732,26,15,0.634146341,Celta,y,14,85,54,45.9,0.164705882,53,32,0.623529412
Destro,y,Roma,6,45,57,25.65,0.133333333,40,5,0.888888889,Roma,y,13,39,63,24.57,0.333333333,37,2,0.948717949
Paloschi,y,Chievo,7,21,53,11.13,0.333333333,16,5,0.761904762,Chievo,y,13,64,49,31.36,0.203125,51,13,0.796875
El Arabi,y,Granada,8,55,52,28.6,0.145454545,38,17,0.690909091,Granada,y,12,95,45,42.75,0.126315789,66,29,0.694736842
Garcia,y,,7,58,47,27.26,0.120689655,39,19,0.672413793,Espanyol,y,12,83,52,43.16,0.144578313,58,25,0.698795181
Eder,y,,7,85,56,47.6,0.082352941,39,46,0.458823529,Sampdoria,y,12,90,45,40.5,0.133333333,54,36,0.6
Cassano,y,Inter,7,32,54,17.28,0.21875,17,15,0.53125,Parma,y,12,58,60,34.8,0.206896552,36,22,0.620689655
Diabate,y,,8,55,51,28.05,0.145454545,45,10,0.818181818,Bordeaux,y,12,66,53,34.98,0.181818182,52,14,0.787878788
Adebayor,y,Spurs,5,42,63,26.46,0.119047619,37,5,0.880952381,Spurs,y,11,44,70,30.8,0.25,31,13,0.704545455
dos Santos,y,Mallorca,6,70,44,30.8,0.085714286,24,46,0.342857143,Villareal,y,11,63,61,38.43,0.174603175,40,23,0.634920635
Volland,y,Hoffenheim,6,51,44,22.44,0.117647059,30,21,0.588235294,Hoffenheim,y,11,92,53,48.76,0.119565217,56,36,0.608695652
Bueno,y,Valladolid,5,37,62,22.94,0.135135135,18,19,0.486486486,Vallecano,y,11,65,56,36.4,0.169230769,42,23,0.646153846
Berigaud,y,Evian,4,59,53,31.27,0.06779661,36,23,0.610169492,Evian,y,10,63,48,30.24,0.158730159,40,23,0.634920635
